Position
Time (Seconds),J1 (Degrees),J2 (Degrees),J3 (Degrees),J4 (Degrees),J5 (Degrees),J6 (Degrees)
8.049999,4.276272,-41.848198,65.576653,-0.755449,66.574982,-137.420715
8.075000,4.191360,-41.937740,65.613091,-0.761300,66.614952,-138.503983
8.099999,4.104822,-42.025555,65.648766,-0.766901,66.653809,-139.588150
8.125000,4.016685,-42.111633,65.683662,-0.772232,66.691582,-140.674835
8.150000,3.926973,-42.195950,65.717773,-0.777296,66.728279,-141.763214
8.174999,3.835721,-42.278416,65.751068,-0.782096,66.763832,-142.853210
8.200000,3.742955,-42.359035,65.783554,-0.786611,66.798248,-143.944839
8.224999,3.648707,-42.437759,65.815208,-0.790864,66.831490,-145.037262
8.250000,3.553012,-42.514561,65.846046,-0.794841,66.863525,-146.132019
8.275000,3.455895,-42.589378,65.876022,-0.798526,66.894333,-147.229080
8.299999,3.357398,-42.662197,65.905136,-0.801931,66.923958,-148.326035
8.325000,3.257549,-42.732948,65.933388,-0.805052,66.952271,-149.425247
8.349999,3.156389,-42.801632,65.960770,-0.807897,66.979317,-150.525864
8.375000,3.053951,-42.868191,65.987251,-0.810433,67.005074,-151.627884
8.400000,2.950275,-42.932617,66.012840,-0.812692,67.029533,-152.730453
8.424999,2.845400,-42.994862,66.037552,-0.814663,67.052605,-153.835876
8.450000,2.739364,-43.054890,66.061317,-0.816338,67.074379,-154.941772
8.474999,2.632202,-43.112656,66.084167,-0.817703,67.094757,-156.048920
8.500000,2.523965,-43.168182,66.106094,-0.818786,67.113808,-157.155655
8.525000,2.414688,-43.221386,66.127090,-0.819578,67.131386,-158.265884
8.549999,2.304411,-43.272263,66.147141,-0.820050,67.147591,-159.375656
8.575000,2.193186,-43.320797,66.166252,-0.820239,67.162361,-160.487228
8.599999,2.081049,-43.366947,66.184387,-0.820123,67.175705,-161.599854
8.625000,1.968051,-43.410702,66.201561,-0.819711,67.187592,-162.712616
8.650000,1.854231,-43.452038,66.217766,-0.818999,67.198013,-163.827881
